toolName,category,url,contact,description,toolType,note,collaborators,public,obsolete,audience,codebase,publicCodebase,parentProject,image,component,legacyUrl
C911 Calculator,public website,http://rnai.nih.gov/haystack/C911Calc.html,Eugen Buehler,This is a simple JavaScript calculator that generates C911 controls for a set of existing target sequences,website,Needs Counter,,yes,No,Biologist,,yes,,yes,CCalculatorComponent,
Resolver,QSAR models,https://predictor.ncats.io,"Alexey Zakharov, Tongan Zhao, Trung Nguyen",QSAR models for targets and ADMET predictions,website,,,yes,No,"Informatician, Biologist, Chemist",,yes,,yes,,
MDS,ADMET Predictor,http://qhts.nih.gov/md/,"Hongmao Sun, Yuhong Wang",18 highly predictive models for ADMET properties,website,,,yes,No,Chemist,,no,,yes,,
ncgcmatrix,matrix,https://spotlite.nih.gov/ncats/ncatsr,Lu Chen,"R methods to query, process matrix data",R package,,,no,No,"Informatician, Biologist, Chemist",https://spotlite.nih.gov/ncats/ncatsr,no,,,,
ncgchts,qhts,https://spotlite.nih.gov/ncats/ncatsr,Lu Chen,"R methods to query, process qhts data",R package,,,no,No,"Informatician, Biologist, Chemist",,,,,,
gsrs,chemistry,http://ginas.ncats.nih.gov,Tyler Peryea,"FDA's substance database, mostly used for regulatory information on products","website, API",,FDA,yes,No,"Informatician, Chemist",https://spotlite.nih.gov/ncats/inxight,no,,yes,,
matrix client,combination screening,https://tripod.nih.gov/matrix-client,Lu Chen,Public facing matrix data interface,"website, API",,,yes,No,"Informatician, Biologist, Chemist",https://spotlite.nih.gov/ncats/matrix-screening,no,,yes,,
shiny apps,internal website,http://shiny.ncats.nih.gov:3838,"Lu Chen, Gene","Various applications for qhts, matrix and rnai. Usually small, single function apps (generate plot or do a specific statistical test)","website, R package",,,no,No,"Informatician, Biologist, Chemist",https://spotlite.nih.gov/ncats/shiny,No,,,,
ncgcrnai,rnai,https://spotlite.nih.gov/ncats/ncatsr,Lu Chen,,,,,no,No,"Informatician, Biologist, Chemist",https://spotlite.nih.gov/ncats/ncatsr,no,,,,
qHTS Tools,qhts,http://qhts/ws,Yuhong Wang,A list of java web applications that help process qHTS data,,,,,,Informatician,https://bitbucket.org/ncgc/qhts-client/issues?status=new&status=open,,,,,
ChemKit,cheminformatics suite,https://spotlite.nih.gov/ncats/chemkit.git,"Gergely Zahoranszky-Kohalmi, Daniel Katzel",Collection of common cheminformatics algorithms,API,In development,,no,No,Informatician,https://spotlite.nih.gov/ncats/chemkit,No,,,,
publications,public website,https://publications.ncats.nih.gov,"John Braisted, Trung Nguyen, Timothy Sheils",list of ncats publications,website,,,yes,No,Informatician,https://spotlite.nih.gov/ncats/inxight/tree/reach,yes,,yes,,
Haystack,Internal Tool,http://rnai.nih.gov/haystack/,Eugen Buehler,Off-Target Analysis of RNAi Screening Data,R package,Currently Broken,,no,No,Informatician,Included on website,yes,,,,
ACD Precepta,chemistry,http://www.acdlabs.com/products/percepta/,Alexey Zakharov,Software to build QSAR models,software,,,no,Yes,"Informatician, Chemist",,,Resources,,,
Archiver,Internal Tool,https://spotlite.nih.gov/markwilliams2755/archiver.git,Mark Williams,"Work-in-progress to create offline mirrors of websites with images, pdfs, etc",CLI,Very early development; not recommended for human consumption,,no,Yes,Informatician,,no,,,,
RASLSeq Mapper,genomics,,John Braisted,Maps sequence reads to RASLSeq probes,CLI,,,,Yes,Informatician,,,,,,
RASLSeq DB,internal website,https://raslseq.ncats.nih.gov,John Braisted,Web inteface to Tox21 RASLSeq gene expression data,"website, DB",early dev,,no,Yes,"Informatician, Developer",,,,,,
canvass,qhts,https://tripod.nih.gov/canvass,Tongan Zhao,Web interface to Canvass assays,website,,,yes,No,"Informatician, Biologist, Chemist",,,,yes,,
clihts,qhts,https://spotlite.nih.gov/ncats/clihts,Lu Chen,Scripts and binaries to support command line loading of qHTS and matrix screening data,CLI,,,no,No,"Informatician, Biologist, Chemist",https://spotlite.nih.gov/ncats/clihts,No,,,,
OpenEye,chemistry,hosted on HPC denali,Gergely Zahoranszky-Kohalmi,"Docking, 3D-similarity, virtual screening, we have a license",CLI,,,no,,"Informatician, Biologist, Chemist",,,Resources,,,
Tox21 Portal,Tox21,https://tripod.nih.gov/tox,"Tongan Zhao, Ruili Huang",Tox21 internal tools,"website, DB",,,yes,,"Informatician, Biologist, Chemist",,,,yes,,
Tox21 public browser,Tox21,https://tripod.nih.gov/tox21,"Trung Nguyen,Tongan Zhao, Ruili Huang",Tox21 public data,"website, DB",,,yes,,"Informatician, Biologist, Chemist",,,,yes,,
lychi,,https://github.com/ncats/lychi,Trung Nguyen,chemical structure standardizer,,,,yes,No,Informatician,https://github.com/ncats/lychi,yes,,,,
CORAL,Ligand based virtual screening,,Gregory Tawa,"For a given set of active ligands, find optimized conformations for ROCS based virtual screens",C++ code/system calls to OpenEye/PipeLine pilot,"Prototype complete, can be deployed",,,,Informatician,,,,,,
scaffold hopper,,https://tripod.nih.gov/ws/hopper/hopper.jnlp,"Trung Nguyen, Tyler Peryea","scaffold hopping, r-group decomposition, structure searching pubmed",java webstart app,,,yes,,"Informatician, Biologist, Chemist",,,,,,
intellij,IDE,,"Noel Southall, Daniel Katzel",we have licenses,,,,no,No,Informatician,contact southalln@mail.nih.gov,No,Resources,,,
NCATSFind Resolver,chemistry,https://tripod.nih.gov/servlet/resolverBeta3?structure=gleevec%0A50-00-0,Tyler Peryea,Resolves a name/code/structure to many other name/code/structures/properties,webservice,,,yes,,Developer,,,,yes,ResolverComponent,
Renderer,chemistry,https://tripod.nih.gov/servlet/renderServletv12?structure=C1CCCOC1,Tyler Peryea,"Renders a structure based on a smiles string, has lots of low-level options",webservice,,,yes,,Developer,,,,yes,,
reagent,reagent synthesizer,https://tripod.nih.gov/ws/reagents/reagents.jnlp,Trung Nguyen,library enumeration,,,,,,"Informatician, Chemist",,,,,,
pcfp,pubchem fingerprint,https://bitbucket.org/caodac/pcfp,Trung Nguyen,pubchem fingerprint implementation,,,,,,Informatician,,,,,,
Thomson Integrity,competitive intelligence database,https://integrity.thomson-pharma.com/integrity/xmlxsl/,"Noel Southall, John Braisted, Alexey Zakharov",we have a license,,,,no,,"Informatician, Biologist, Chemist",,,Resources,,,
MOBOT,"Gene coexpression modules, Diagnostic biomarkers, Drug combination Hypothes",,Gregory Tawa,"for a gene by condition expression matrix (conditions = disease, or cell types, or chemical exposure), finds gene co-expression modules associated with disease, controling transcription factors, and small molecule chemistries with reported influence on genes within the modules.",R package,"Prototype complete, can be deployted",,,,Informatician,,,,,,
kinome visualization,human kinome visualization,https://tripod.nih.gov/ws/kinome/kinome.jnlp,Trung Nguyen,human kinome data visualization,java webstart app,,,yes,,Informatician,,,,,,
adme web,adme data browser,http://adme.ncats.nih.gov/adme,"Trung Nguyen, Tongan Zhao",adme data browser,, ,,no,,"Informatician, Biologist, Chemist",,,,,,
adme loader,adme data loader,http://qhts.nih.gov/ws/adme/adme.jnlp,Trung Nguyen,adme data browser and loader,,,,no,,Informatician,,,,,,
Curve,tox21,http://128.231.10.203:8080/toxcurve/,"Tongan Zhao, Ruili Huang",Tox21 dose response curve service,website,,,no,,Developer,,,,,,
Centrauth,developement,https://centrauth.ncats.nih.gov/centrauth,Tongan Zhao,Central authentication system,webservice,,,no,,Developer,,,,,,
iqc validator,iqc data management,https://tripod.nih.gov/ws/iqc/iqc.jnlp,Trung Nguyen,IQC metabolic stability data annotation and management ,,,,,,Informatician,,,,,,
CCC,R script,,John Braisted,Specialized correlation between dose response curves that reports on concordance,R package,,,no,No,"Informatician, Biologist",,,,,,
pubchem deposition,,http://qhts.nih.gov/ws/pcdep/pcdep.jnlp,Trung Nguyen,tool to generate data for pubchem deposition,,,,no,,Informatician,,,,,,
mipe visualizer,MIPE4 meta data visulization,http://tripod.nih.gov/files/mipe,Lu Chen,MIPE4 meta data visulization,website,,,no,,"Informatician, Biologist, Chemist",,,,,,
stitcher,data stitcher,https://spotlite.nih.gov/ncats/stitcher and https://stitcher.ncats.io,Trung Nguyen,data integration and stitching,,,,no,,Informatician,,,,,,
fragment activity profiler,,https://tripod.nih.gov/ws/fap/fap.jnlp,Trung Nguyen,tool for analyzing of fragment activity relationship,,,,,,"Informatician, Biologist, Chemist",,,,,,
molplot,molecular plotting ,https://tripod.nih.gov/ws/molplot/molplot.jnlp,Trung Nguyen,biomolecular activity visualization,,,,,,"Informatician, Biologist, Chemist",,,,,,
overlap,chemical overlapping tool,http://qhts.nih.gov/overlap.html,Trung Nguyen,tool for finding overlap between molecular dataset with our library or any datasets,,,,no,,"Informatician, Biologist, Chemist",,,,,,
similarity ,similarity tool,http://qhts.nih.gov/similarity.html,Trung Nguyen,tool for finding similarity between any two molecular datasets,,,,no,,"Informatician, Biologist, Chemist",,,,,,
annotations,NPC annotations,http://qhts.nih.gov/npc_export.html,Trung Nguyen,tool for export npc annotations,,,,no,Yes,"Informatician, Biologist, Chemist",,,,,,
translator blackboard,data exploration,https://translator.ncats.io/blackboard ,"Trung Nguyen, Mark Williams",blackboard architecture prototype for translator,website,,,yes,,Developer,https://spotlite.nih.gov/ncats/blackboard ,yes,,yes,,
scaffold trend explorer,"scaffolds, visualization",https://tripod.nih.gov/ste,Trung Nguyen,Visualize scaffold aggregated properties over time,website,,,yes,No,"Informatician, Chemist",https://spotlite.nih.gov/ncats/ScaffoldTrends,yes,,yes,,
inxight drug data browser,drug data,https://drugs.ncats.io,"Tyler Peryea, Ivan Grishagin, Noel Southall",definite drug data browser,website,,,yes,,"Informatician, Biologist, Chemist",https://spotlite.nih.gov/ncats/inxight/tree/additionaldata,,,yes,,
ncats status,public website,https://status.ncats.io/,Timothy Sheils,list of ncats services and their statuses - piped from uptime robot,website,,,yes,,Informatician,https://spotlite.nih.gov/ncats/web-status,yes,,yes,,
2017 drugs,website,https://drugs.ncats.io/newdrugs/,"Timothy Sheils, Noel Southall, Ivan Grishagin",website to display new approved FDA drugs for a year,website,,,yes,,"Biologist, Chemist",https://spotlite.nih.gov/tksheils1/2017-drugs,yes,,yes,,
bioplanet,,https://tripod.nih.gov/bioplanet/,"Tongan Zhao, Ivan Grishagin, Ruili Huang",website to browse and display pathways,website,,,yes,,"Informatician, Biologist, Chemist",,,,yes,,
SmrtGraph,website,http://smrtgraph-dev.ncats.nih.gov/,"Timothy Sheils, Gergely Zahoranszky-Kohalmi",network-pharmacology platform,website,,UNM,no,,"Biologist, Chemist",https://spotlite.nih.gov/tksheils1/smartgraph_frontend,no,,,,
drug generator ,webapp,https://tripod.nih.gov/druggenerator/,"Timothy Sheils, Alexey Zakharov, Noel Southall",Draw a molecule to use predictor site,website,,,no,,Chemist,https://spotlite.nih.gov/tksheils1/mol-predictor,,,,,
NCATS MetaData,,http://128.231.10.202:8080/meta/index.jsp,"Tongan Zhao, Ruili Huang",website for tracking and uploading assay annotations,website,,,no,,Informatician,,,,,,
SmrtGraph Neo4j DB,graph-database,http://smrtgraphdb-dev.ncats.nih.gov/,Gergely Zahoranszky-Kohalmi,Backend database (neo4j) for SmrtGraph,DB,,UNM,no,,Informatician,https://spotlite.nih.gov/gzahoranszky/smrtgraph4j.git,no,,,,
project cure mobile app,mobile app,https://cure.ncats.io,"Timothy Sheils, Noel Southall",mobile app for project cure,mobile app,,FDA,yes,,Clinician,https://spotlite.nih.gov/ncats/project_cure_ionic_app,yes,CURE,yes,,
HPC Web portal,website,http://hpc.ncats.nih.gov:8080/hpcweb/,Tongan Zhao,for executable programs,website,,,no,,Informatician,,,,,,
Informatics API,API,https://apis.ncats.nih.gov/ws,"Tongan Zhao, Trung Nguyen",informatics api,API,,,no,,Developer,,,,,,
EnrichR R Wrapper,R Script,,John Braisted,"R script, takes gene symbol list and 'library' list, reports on over represented pathways",R package,,,no,No,"Informatician, Biologist",,,,,,
Drug status lookup,javascript,http://jsfiddle.net/1rs5386o/10/show/,Tyler Peryea,Web page consumes drugs APIs,website,,,no,No,Informatician,http://jsfiddle.net/1rs5386o/10/show/,yes,,,,
MirrorDB,PostgreSQL database,"ifxdev.ncats.nih.gov, db:mlncgc, port: 5432",Gergely Zahoranszky-Kohalmi,"Relational database containing most of NCGC compounds, mirrored from ProbeDB.",DB,,,no,,Informatician,https://spotlite.nih.gov/gzahoranszky/mirrorstructures.git,no,,,,
DEA Schedule,website,https://tripod.nih.gov/dea/,"Trung Nguyen, Tongan Zhao",NCGC samples that are on DEA schedule list,website,,,no,No,"Chemist, Informatician",,,,,,
NCGC Assay Tool,qhts data,http://qhts.ncats.nih.gov/ws/ncgc_assay.jnlp,,This application is for quick analysis of assay results.,,,,,,Informatician,,,,,,
NCGC Barcode Lookup,qhts data,http://acomm.nih.gov/CoMa/CoMaQueries/PlateMap.aspx,,Only for intraplate/qHTS-style compound plates (i.e. plates that would go on the robot.,,,,,,"Informatician, Biologist, Chemist",,,,,,
NCGC Wiki,qhts data,http://ncgcprobe.nhgri.nih.gov/NcgcWiki/,,"Sure, why not, our own wiki living documents. Feel free to read through the various content there and add your own contributions to the resources. Coming soon: NCGC Blogs?",,,,,,"Informatician, Biologist, Chemist",,,,,,
NDK NCATS Disease Knowledgebase,competitive intelligence,https://tripod.nih.gov/ndk/treatment/aspirin,Tyler Peryea,"data on compound development status, indexing clinicaltrials.gov by condition (disease) and intervention (drug)",API,,,,,"Informatician, Developer",,,,,,
CURE: early FDA prototype,website,https://tripod.nih.gov/cure/,"Timothy Sheils, Noel Southall",obsolete proof of concept website,website,,FDA,no,Yes,Clinician,,no,CURE,,,
project cure,public website,https://cure.ncats.io,"Timothy Sheils, Noel Southall",web version of project CURE mobile app,website,,,yes,,Clinician,https://spotlite.nih.gov/ncats/project_cure_web_app,,CURE,yes,,
project cure-dev,test website,https://cure-dev.ncats.io,"Timothy Sheils, Noel Southall",test web version of project CURE mobile app,website,,,no,,Clinician,https://spotlite.nih.gov/ncats/project_cure_web_app,,CURE,,,
project cure api,public api,https://cure-api.ncats.io,"Timothy Sheils, Noel Southall",public api for project CURE mobile app,API,,,yes,,Clinician,https://spotlite.nih.gov/ncats/project_cure_backend_app,,CURE,,,
project cure api-dev,test api,https://curedev-api.ncats.io,"Timothy Sheils, Noel Southall",test api for project CURE mobile app,API,,,no,,Clinician,https://spotlite.nih.gov/ncats/project_cure_backend,,CURE,,,
projects,publicish website,publications.ncats.nih.gov/projects,"John Braisted, Trung Nguyen, Timothy Sheils",abandoned list of ncats projects,website,,,no,Yes,Informatician,https://spotlite.nih.gov/ncats/inxight/tree/reach,yes,,,,
